Total,TimeStamp,Price,OrderType,FillType,Id, Quantitiy
0.0013369,2017-10-31T03:40:48.223,0.00016028,BUY,FILL,25645952,8.3410483
0.00471812,2017-10-31T03:40:44.863,0.00016028,BUY,FILL,25645944,29.43673603
0.01070711,2017-10-31T03:40:44.85,0.00016028,BUY,PARTIAL_FILL,25645943,66.80258997
0.00239999,2017-10-31T03:40:38.427,0.00016028,BUY,FILL,25645928,14.97379585
0.00614665,2017-10-31T03:40:37.223,0.00016028,BUY,FILL,25645922,38.349471
0.02036651,2017-10-31T03:40:37.02,0.00016028,BUY,FILL,25645920,127.068344
0.01381573,2017-10-31T03:40:34.66,0.00016028,BUY,FILL,25645916,86.197502
0.00054384,2017-10-31T03:40:34.52,0.00016028,BUY,FILL,25645914,3.39308114
0.00049999,2017-10-31T03:40:34.13,0.00016028,BUY,FILL,25645912,3.1195408
0.03962028,2017-10-31T03:40:33.287,0.00016028,BUY,FILL,25645908,247.194201
0.00101252,2017-10-31T03:40:27.943,0.00016028,SELL,FILL,25645896,6.31722093
0.05506993,2017-10-31T03:40:27.943,0.0001635,SELL,FILL,25645895,336.8191927
0.00110993,2017-10-31T03:40:23.537,0.00016295,BUY,PARTIAL_FILL,25645889,6.81150409
0.10962977,2017-10-31T03:40:07.863,0.00016018,SELL,PARTIAL_FILL,25645833,684.41611009
0.39516748,2017-10-31T03:40:07.847,0.0001602,SELL,FILL,25645832,2466.71336878
0.11707874,2017-10-31T03:40:07.847,0.00016021,SELL,FILL,25645831,730.783
0.00054804,2017-10-31T03:40:07.847,0.00016032,SELL,FILL,25645830,3.41844432
0.02035309,2017-10-31T03:40:07.847,0.000161,SELL,FILL,25645829,126.41676848
0.00586031,2017-10-31T03:40:07.847,0.0001614,SELL,FILL,25645828,36.30929368
0.00079425,2017-10-31T03:40:07.847,0.00016141,SELL,FILL,25645827,4.92072326
0.009975,2017-10-31T03:40:07.847,0.00016151,SELL,FILL,25645826,61.76088168
0.02968702,2017-10-31T03:40:07.847,0.0001619,SELL,FILL,25645825,183.3664387
0.00492099,2017-10-31T03:40:07.847,0.0001619,SELL,FILL,25645824,30.39528521
0.00054954,2017-10-31T03:40:07.847,0.00016196,SELL,FILL,25645823,3.39308114
0.35789729,2017-10-31T03:40:07.847,0.00016346,SELL,FILL,25645822,2189.50994507
0.0149059,2017-10-31T03:40:07.847,0.00016347,SELL,FILL,25645821,91.18432648
0.00671318,2017-10-31T03:39:24.707,0.0001636,SELL,FILL,25645813,41.03412007
0.01675212,2017-10-31T03:39:24.707,0.0001636,SELL,FILL,25645812,102.39683426
0.10226622,2017-10-31T03:38:56.283,0.00016416,BUY,FILL,25645788,622.96676215
0.09965184,2017-10-31T03:38:47.283,0.00016416,BUY,FILL,25645778,607.04096276
0.00091604,2017-10-31T03:38:47.283,0.00016416,BUY,PARTIAL_FILL,25645777,5.58019188
0.00422391,2017-10-31T03:38:47.283,0.00016415,BUY,PARTIAL_FILL,25645776,25.73204304
0.0001039,2017-10-31T03:38:47.283,0.00016379,BUY,PARTIAL_FILL,25645775,0.63438913
0.0008851,2017-10-31T03:38:46.83,0.00016379,BUY,FILL,25645773,5.40390007
0.04057256,2017-10-31T03:38:46.83,0.00016379,BUY,PARTIAL_FILL,25645772,247.71085709
0.0081895,2017-10-31T03:38:37.03,0.00016379,BUY,FILL,25645764,50.0
0.11111261,2017-10-31T03:38:29.517,0.0001636,SELL,PARTIAL_FILL,25645753,679.17249047
0.04181859,2017-10-31T03:38:27.907,0.0001636,SELL,PARTIAL_FILL,25645751,255.61489578
0.01283335,2017-10-31T03:38:27.907,0.0001636,SELL,FILL,25645750,78.44348363
0.10894804,2017-10-31T03:38:27.907,0.0001636,SELL,FILL,25645749,665.94162059
0.006544,2017-10-31T03:38:27.437,0.0001636,SELL,PARTIAL_FILL,25645748,40.0
0.00828166,2017-10-31T03:37:57.717,0.00016379,BUY,FILL,25645742,50.56267872
0.00056281,2017-10-31T03:37:57.717,0.00016379,BUY,PARTIAL_FILL,25645741,3.43620391
0.00056281,2017-10-31T03:37:57.717,0.00016379,BUY,PARTIAL_FILL,25645740,3.43620391
0.01498198,2017-10-31T03:36:56.73,0.0001636,SELL,PARTIAL_FILL,25645688,91.57694542
0.00081795,2017-10-31T03:36:05.697,0.00016359,SELL,PARTIAL_FILL,25645644,5.0
0.00408975,2017-10-31T03:36:04.01,0.00016359,SELL,PARTIAL_FILL,25645641,25.0
0.00451309,2017-10-31T03:35:54.667,0.00016359,BUY,PARTIAL_FILL,25645628,27.58783364
0.01503933,2017-10-31T03:35:48.4,0.00016346,SELL,PARTIAL_FILL,25645618,92.006212
0.54157222,2017-10-31T03:35:46.167,0.00016334,BUY,PARTIAL_FILL,25645615,3315.613
0.39701597,2017-10-31T03:35:46.167,0.00016331,BUY,PARTIAL_FILL,25645614,2431.05733802
0.08577916,2017-10-31T03:35:46.167,0.0001633,BUY,PARTIAL_FILL,25645613,525.28577588
0.00769817,2017-10-31T03:35:46.167,0.00016298,BUY,PARTIAL_FILL,25645612,47.23389127
0.00817167,2017-10-31T03:35:46.167,0.00016296,BUY,PARTIAL_FILL,25645611,50.14529668
0.00097156,2017-10-31T03:34:58.447,0.0001619,SELL,PARTIAL_FILL,25645585,6.0010027
0.01610257,2017-10-31T03:34:49.49,0.0001619,SELL,PARTIAL_FILL,25645584,99.46
0.078963,2017-10-31T03:34:32.397,0.00016189,SELL,PARTIAL_FILL,25645579,487.757133
0.00235508,2017-10-31T03:34:31.38,0.00016181,BUY,PARTIAL_FILL,25645578,14.55460714
0.00564071,2017-10-31T03:34:31.38,0.00016181,BUY,PARTIAL_FILL,25645577,34.86008858
0.0427873,2017-10-31T03:33:55.99,0.0001615,SELL,PARTIAL_FILL,25645564,264.93688885
0.06531928,2017-10-31T03:33:55.99,0.00016154,SELL,FILL,25645563,404.35361226
0.008077,2017-10-31T03:33:55.99,0.00016154,SELL,FILL,25645562,50.0
0.04534581,2017-10-31T03:33:55.99,0.00016154,SELL,FILL,25645561,280.70949889
0.0072525,2017-10-31T03:33:21.083,0.00016154,SELL,PARTIAL_FILL,25645518,44.89605823
1.086e-05,2017-10-31T03:33:19.067,0.00016154,BUY,PARTIAL_FILL,25645515,0.06726323
0.00099999,2017-10-31T03:33:17.317,0.00016154,BUY,FILL,25645513,6.19041723
0.016154,2017-10-31T03:33:08.487,0.00016154,BUY,FILL,25645511,100.0
0.01994999,2017-10-31T03:32:59.113,0.00016154,BUY,FILL,25645507,123.49882382
0.08067715,2017-10-31T03:32:57.52,0.00016152,SELL,FILL,25645505,499.48712155
0.04894896,2017-10-31T03:32:38.347,0.00016152,SELL,PARTIAL_FILL,25645456,303.052057
0.0220236,2017-10-31T03:32:33.517,0.00016154,BUY,FILL,25645452,136.335316
0.19341387,2017-10-31T03:32:27.283,0.00016152,SELL,PARTIAL_FILL,25645446,1197.46082145
0.06181174,2017-10-31T03:32:27.283,0.00016154,SELL,FILL,25645445,382.64051787
0.00099749,2017-10-31T03:32:10.517,0.00016297,SELL,FILL,25645434,6.12075842
0.0081485,2017-10-31T03:31:55.047,0.00016297,SELL,FILL,25645416,50.0
0.04478693,2017-10-31T03:31:41.58,0.00016297,BUY,FILL,25645410,274.81707816
0.00791181,2017-10-31T03:31:12.53,0.00016345,BUY,FILL,25645397,48.40510919
0.5696094,2017-10-31T03:31:08.56,0.0001615,SELL,PARTIAL_FILL,25645393,3526.99324051
0.01525585,2017-10-31T03:31:08.56,0.00016287,SELL,FILL,25645392,93.6688793
0.37974517,2017-10-31T03:31:00.437,0.0001615,SELL,PARTIAL_FILL,25645385,2351.36329987
0.13359559,2017-10-31T03:30:55.89,0.00016287,SELL,FILL,25645382,820.25905217
0.01509169,2017-10-31T03:30:51.513,0.00016325,SELL,FILL,25645358,92.44531534
0.0048583,2017-10-31T03:30:23.45,0.00016325,BUY,PARTIAL_FILL,25645284,29.7598914
0.00098211,2017-10-31T03:30:08.277,0.00016325,BUY,FILL,25645266,6.0160428
0.00099203,2017-10-31T03:30:07.403,0.00016325,BUY,FILL,25645263,6.07681088
0.01574054,2017-10-31T03:29:59.51,0.00016287,SELL,PARTIAL_FILL,25645252,96.6448668
0.00329657,2017-10-31T03:29:31.747,0.00016287,SELL,PARTIAL_FILL,25645207,20.24051316
0.001108,2017-10-31T03:29:31.247,0.00016287,BUY,PARTIAL_FILL,25645206,6.80297946
0.016149,2017-10-31T03:29:11.79,0.00016149,SELL,PARTIAL_FILL,25645188,100.0
0.08481264,2017-10-31T03:28:15.133,0.00016146,SELL,PARTIAL_FILL,25645150,525.28577588
0.0766521,2017-10-31T03:28:15.133,0.00016147,SELL,FILL,25645149,474.71422412
0.032294,2017-10-31T03:28:12.18,0.00016147,SELL,PARTIAL_FILL,25645143,200.0
0.08521084,2017-10-31T03:27:54.553,0.00016143,SELL,PARTIAL_FILL,25645124,527.85011265
0.01449039,2017-10-31T03:27:52.337,0.00016141,BUY,PARTIAL_FILL,25645123,89.77381718
0.0407189,2017-10-31T03:27:52.337,0.00016141,BUY,PARTIAL_FILL,25645122,252.2700318
0.19034578,2017-10-31T03:27:29.583,0.00016139,SELL,PARTIAL_FILL,25645106,1179.415
0.0030281,2017-10-31T03:27:25.927,0.00016139,SELL,PARTIAL_FILL,25645104,18.76268319
0.16139,2017-10-31T03:27:19.897,0.00016139,SELL,PARTIAL_FILL,25645094,1000.0
0.01368111,2017-10-31T03:27:14.443,0.00016141,BUY,FILL,25645092,84.75999938
0.0009842,2017-10-31T03:27:02.317,0.00016141,BUY,FILL,25645084,6.097561
0.00055463,2017-10-31T03:27:00.3,0.00016141,SELL,FILL,25645080,3.43620391
0.00055463,2017-10-31T03:27:00.3,0.00016141,SELL,FILL,25645079,3.43620391
